time,UAV_NED_x,UAV_NED_y,UAV_NED_z,distanceToObst,riskID,risk_type,pos_0,pos_1,pos_2,controller_mode,groundspeed,course,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5
1744880490070153.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490070153.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880490091135.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490091135.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880490115985.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490115985.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490156388.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490156388.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490177071.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490177071.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490198029.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490198029.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490218689.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490218689.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490239657.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490239657.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490260695.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490260695.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490281662.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490281662.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490302444.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490302444.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490323551.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490323551.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490344501.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490344501.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490365602.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490365602.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
1744880490386457.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490386457.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,350.979,1.0472
