time,x_state,y_state,z_state,psi_state,mpc_cmd_psi,mpc_cmd_omega,mpc_cmd_vel
1744880491015039.0,-197.846,-2452.38,0.473784,5.55447,5.42865,-0.125815,60.0
1744880491035889.0,-197.846,-2452.38,0.473784,5.55447,5.42217,-0.132293,60.0
1744880491057072.0,-195.728,-2454.43,0.474505,5.42865,5.28512,-0.143535,60.0
1744880491077883.0,-195.728,-2454.43,0.474505,5.42865,5.35274,-0.0759119,60.0
1744880491098990.0,-193.186,-2456.48,0.475214,5.28512,5.13234,-0.152777,60.0
1744880491119955.0,-193.186,-2456.48,0.475214,5.28512,5.18486,-0.100261,60.0
1744880491140854.0,-193.186,-2456.48,0.475214,5.28512,5.20743,-0.0776896,60.0
1744880491161556.0,-191.068,-2458.52,0.475938,5.18486,5.10884,-0.0760114,60.0
1744880491182290.0,-191.068,-2458.52,0.475938,5.18486,5.16361,-0.0212498,60.0
1744880491203413.0,-188.95,-2460.57,0.476663,5.10884,5.18187,0.073029,60.0
1744880491224389.0,-188.95,-2460.57,0.476663,5.10884,5.09129,-0.0175527,60.0
1744880491246135.0,-186.832,-2462.62,0.47739,5.09129,4.94078,-0.150512,60.0
1744880491267182.0,-186.832,-2462.62,0.47739,5.09129,5.07219,-0.0191048,60.0
1744880491287719.0,-186.832,-2462.62,0.47739,5.09129,5.01356,-0.0777299,60.0
1744880491308571.0,-184.714,-2464.67,0.478117,5.07219,5.15852,0.0863336,60.0
1744880491329533.0,-184.714,-2464.67,0.478117,5.07219,5.13288,0.0606983,60.0
1744880491350142.0,-182.596,-2466.71,0.478847,5.15852,5.07821,-0.0803055,60.0
1744880491370857.0,-182.596,-2466.71,0.478847,5.15852,5.055,-0.103519,60.0
1744880491391876.0,-182.596,-2466.71,0.478847,5.15852,5.00679,-0.151727,60.0
1744880491412595.0,-180.478,-2468.76,0.479577,5.055,5.08101,0.0260115,60.0
1744880491433680.0,-180.478,-2468.76,0.479577,5.055,5.15427,0.0992681,60.0
1744880491454431.0,-178.783,-2471.49,0.480585,5.08101,5.06893,-0.0120851,60.0
1744880491475337.0,-178.783,-2471.49,0.480585,5.08101,5.11548,0.0344658,60.0
1744880491496206.0,-178.783,-2471.49,0.480585,5.08101,5.10244,0.0214238,60.0
1744880491517120.0,-176.665,-2473.54,0.481318,5.11548,5.10638,-0.00909499,60.0
1744880491538000.0,-176.665,-2473.54,0.481318,5.11548,4.99905,-0.116424,60.0
1744880491558682.0,-174.547,-2475.59,0.482053,5.10638,5.25242,0.146038,60.0
1744880491579710.0,-174.547,-2475.59,0.482053,5.10638,5.05856,-0.0478216,60.0
1744880491600385.0,-172.429,-2477.64,0.482789,5.25242,5.2042,-0.0482213,60.0
1744880491621283.0,-172.429,-2477.64,0.482789,5.25242,5.10934,-0.143077,60.0
